zone_id,home_x,home_y,home_weight,work_x,work_y,work_weight,sigma_m
z44,632256.211,4803348.856,1146.867,632256.211,4803348.856,1089.524,300
z43,631454.067,4803330.72,1125.975,631454.067,4803330.72,1069.676,300
z63,631432.714,4804479.061,1087.151,631432.714,4804479.061,1032.793,300
z54,632239.572,4803938.268,1070.307,632239.572,4803938.268,1016.792,300
z53,631438.5,4803929.172,1061.939,631438.5,4803929.172,1008.842,300
z64,632230.816,4804487.577,1043.897,632230.816,4804487.577,991.702,300
z42,630634.232,4803305.4,1041.382,630634.232,4803305.4,989.313,300
z13,631485.327,4801576.581,1016.113,631485.327,4801576.581,965.308,300
z12,630653.936,4801547.211,931.535,630653.936,4801547.211,884.958,300
z45,632988.394,4803358.6,899.276,632988.394,4803358.6,854.312,300
z55,633015.731,4803940.255,883.094,633015.731,4803940.255,838.939,300
z23,631482.966,4802156.404,881.714,631482.966,4802156.404,837.628,300
z33,631462.399,4802723.803,854.255,631462.399,4802723.803,811.542,300
z32,630627.014,4802710.312,798.05,630627.014,4802710.312,758.147,300
z74,632221.788,4804994.691,781.088,632221.788,4804994.691,742.033,300
z52,630665.57,4803910.152,760.245,630665.57,4803910.152,722.233,300
z34,632246.301,4802756.5,756.971,632246.301,4802756.5,719.123,300
z57,634747.853,4803987.155,746.169,634747.853,4803987.155,708.861,300
z22,630653.969,4802143.383,714.191,630653.969,4802143.383,678.482,300
z02,630651.568,4800975.069,707.133,630651.568,4800975.069,671.777,300
z66,633921.653,4804514.837,691.497,633921.653,4804514.837,656.922,300
z56,633938.5,4804001.809,686.964,633938.5,4804001.809,652.616,300
z67,634718.996,4804536.959,649.515,634718.996,4804536.959,617.039,300
z62,630696.924,4804438.772,645.779,630696.924,4804438.772,613.49,300
z24,632170.51,4802181.214,586.447,632170.51,4802181.214,557.125,300
z14,632187.516,4801553.573,569.05,632187.516,4801553.573,540.597,300
z76,633983.342,4805041.292,500.057,633983.342,4805041.292,475.054,300
z11,629926.678,4801497.829,498.009,629926.678,4801497.829,473.109,300
z73,631546.662,4804920.618,456.09,631546.662,4804920.618,433.285,300
z71,629860.967,4805126.071,453.429,629860.967,4805126.071,430.757,300
z77,634669.964,4805034.137,438.081,634669.964,4805034.137,416.177,300
z01,629895.594,4800978.045,429.205,629895.594,4800978.045,407.745,300
z35,633012.459,4802844.714,401.684,633012.459,4802844.714,381.6,300
z65,632836.264,4804486.456,380.958,632836.264,4804486.456,361.91,300
z09,636530.383,4801114.456,371.124,636530.383,4801114.456,352.568,300
z47,634815.058,4803565.9,347.975,634815.058,4803565.9,330.576,300
z03,631424.735,4801001.216,328.07,631424.735,4801001.216,311.666,300
z75,632833.528,4805082.593,299.709,632833.528,4805082.593,284.723,300
z48,635418.405,4803422.16,265.694,635418.405,4803422.16,252.409,300
z19,636527.453,4801481.082,263.82,636527.453,4801481.082,250.629,300
z68,635327.149,4804569.374,230.927,635327.149,4804569.374,219.38,300
z58,635295.795,4804005.564,196.821,635295.795,4804005.564,186.98,300
z50,637242.377,4803367.343,196.001,637242.377,4803367.343,186.2,300
z07,634779.055,4800877.58,185.753,634779.055,4800877.58,176.465,300
z06,634158.396,4801050.627,180.064,634158.396,4801050.627,171.06,300
z72,630325.199,4804996.937,171.86,630325.199,4804996.937,163.267,300
z31,630006.96,4802768.242,163.372,630006.96,4802768.242,155.203,300
z40,637378.688,4802883.513,153.788,637378.688,4802883.513,146.099,300
z20,636971.351,4801748.899,128.498,636971.351,4801748.899,122.073,300
z36,633740.241,4802661.487,103.747,633740.241,4802661.487,98.56,300
z04,632137.17,4801147.769,103.37,632137.17,4801147.769,98.202,300
z16,633940.849,4801475.162,100.691,633940.849,4801475.162,95.657,300
z10,637510.654,4800991.771,97.176,637510.654,4800991.771,92.317,300
z78,635460.984,4805007.453,96.162,635460.984,4805007.453,91.354,300
z41,630069.492,4803128.592,94.581,630069.492,4803128.592,89.852,300
z21,630014.983,4802131.005,84.707,630014.983,4802131.005,80.471,300
z79,636135.758,4805298.518,80.094,636135.758,4805298.518,76.089,300
z30,637527.201,4802294.671,61.573,637527.201,4802294.671,58.495,300
z46,634140.894,4803638.202,60.448,634140.894,4803638.202,57.426,300
z15,632854.422,4801550.58,58.18,632854.422,4801550.58,55.271,300
z17,634995.841,4801745.04,50.378,634995.841,4801745.04,47.859,300
z61,629875.495,4804627.842,48.271,629875.495,4804627.842,45.858,300
z28,635789.976,4802151.991,42.991,635789.976,4802151.991,40.841,300
z49,636093.347,4803372.53,41.746,636093.347,4803372.53,39.658,300
z26,633753.616,4802274.499,38.84,633753.616,4802274.499,36.898,300
z29,636188.181,4802441.933,26.474,636188.181,4802441.933,25.15,300
z39,636150.783,4802762.041,23.618,636150.783,4802762.041,22.437,300
z25,633120.356,4802091.884,19.422,633120.356,4802091.884,18.451,300
z37,634976.437,4802608.263,17.538,634976.437,4802608.263,16.661,300
z08,635526.064,4801209.423,13.228,635526.064,4801209.423,12.567,300
z27,634549.091,4802190.092,11.272,634549.091,4802190.092,10.708,300
z18,635554.903,4801382.026,8.317,635554.903,4801382.026,7.902,300
z51,630112.683,4804065.422,6.497,630112.683,4804065.422,6.172,300
z59,636042.316,4803798.943,5.141,636042.316,4803798.943,4.884,300
z70,637022.899,4804415.668,2.782,637022.899,4804415.668,2.643,300
z60,636911.594,4803982.583,2.556,636911.594,4803982.583,2.429,300
z05,632862.199,4801168.566,2.404,632862.199,4801168.566,2.284,300
z80,637505.699,4805441.765,1.389,637505.699,4805441.765,1.32,300
z38,635946.444,4803039.766,0.215,635946.444,4803039.766,0.204,300
